Item	Span_Label	Picture	Condition	
kalkoen	pavo	turkey.png	1
sjaal	bufanda	scarf.png	1
eekhoorn	ardilla	squirrel.png	1
deksel	tapa	lid.png	1
bijl	hacha	axe.png	2
pop	muñeca	doll.png	1
armband	pulsera	bracelet.png	2
baksteen	ladrillo	brick.png	1
mand	canasta	basket.png	1
bezem	escoba	broom.png	2
handschoen	guante	glove.png	1
bot	hueso	bone.png	1
portemonnee	cartera	wallet.png	1
knoflook	ajo	garlic.png	1
blad	hoja	leaf.png	1
mier	hormiga	ant.png	2
strijkijzer	plancha	iron.png	1
kikker	rana	frog.png	1
fluit	silbato	whistle.png	1
beha	sujetador	bra.png	1
emmer	cubo	bucket.png	2
krijt	tiza	chalk.png	1
slak	caracol	snail.png	1
