Item	Label	Picture	Condition	
eekhoorn	ardilla	squirrel.png	2
kalkoen	pavo	turkey.png	2
strijkijzer	plancha	iron.png	2
perzik	melocotón	peach.png	1
krijt	tiza	chalk.png	2
pop	muñeca	doll.png	2
portemonnee	cartera	wallet.png	2
hek	alambrada	fence.png	1
stoel	silla	chair.png	1
blad	hoja	leaf.png	2
beha	sujetador	bra.png	2
emmer	cubo	bucket.png	1
schommel	columpio	swing.png	1
stropdas	corbata	tie.png	1
deksel	tapa	lid.png	2
aansteker	mechero	lighter.png	1
ober	camarero	waiter.png	2
mand	canasta	basket.png	2
baksteen	ladrillo	brick.png	2
zeehond	foca	seal.png	1
haai	tiburón	shark.png	1
armband	pulsera	bracelet.png	1
worst	salchicha	sausage.png	1
dienblad	bandeja	tray.png	1
mes	cuchillo	knife.png	2
ezel	burro	donkey.png	2
bezem	escoba	broom.png	1
handschoen	guante	glove.png	2
dweil	fregona	mop.png	1
schedel	calavera	skull.png	2
bijl	hacha	axe.png	1
fluit	silbato	whistle.png	2
hert	ciervo	deer.png	1
mier	hormiga	ant.png	1
stier	toro	bull.png	1
liniaal	regla	ruler.png	1
paddenstoel	hongo	mushroom.png	1
stinkdier	mofeta	skunk.png	2
rok	falda	skirt.png	2
pak	traje	suit.png	2
slak	caracol	snail.png	2
jurk	vestido	dress.png	1
broekzak	bolsillo	pocket.png	1
hak	tacón	heel.png	1
kikker	rana	frog.png	2
knoflook	ajo	garlic.png	2
Item	Label	Picture	Condition	
eekhoorn	ardilla	squirrel.png	2
kalkoen	pavo	turkey.png	2
strijkijzer	plancha	iron.png	2
perzik	melocotón	peach.png	1
krijt	tiza	chalk.png	2
pop	muñeca	doll.png	2
portemonnee	cartera	wallet.png	2
hek	alambrada	fence.png	1
stoel	silla	chair.png	1
blad	hoja	leaf.png	2
beha	sujetador	bra.png	2
emmer	cubo	bucket.png	1
schommel	columpio	swing.png	1
potlood	lápiz	pencil.png	1
deksel	tapa	lid.png	2
aansteker	mechero	lighter.png	1
ober	camarero	waiter.png	2
mand	canasta	basket.png	2
baksteen	ladrillo	brick.png	2
zeehond	foca	seal.png	1
haai	tiburón	shark.png	1
armband	pulsera	bracelet.png	1
worst	salchicha	sausage.png	1
dienblad	bandeja	tray.png	1
mes	cuchillo	knife.png	2
ezel	burro	donkey.png	2
bezem	escoba	broom.png	1
handschoen	guante	glove.png	2
dweil	fregona	mop.png	1
lucifer	cerillo	match.png	2
bijl	hacha	axe.png	1
fluit	silbato	whistle.png	2
hert	ciervo	deer.png	1
mier	hormiga	ant.png	1
stier	toro	bull.png	1
liniaal	regla	ruler.png	1
paddenstoel	hongo	mushroom.png	1
stinkdier	mofeta	skunk.png	2
jurk	vestido	dress.png	2
pak	traje	suit.png	2
slak	caracol	snail.png	2
raam	ventana	window.png	1
broekzak	bolsillo	pocket.png	1
ui	cebolla	onion.png	1
kikker	rana	frog.png	2
knoflook	ajo	garlic.png	2
